reef_name,Total_fish_count,Total_Select_Species,RBA,y,x
7 Matas,28,20,71.42857143,,
"7 Matas de Coco, La Caleta",74,44,59.45945946,,
Abbey Too,166,25,15.06024096,,
Abbey Too Reef,60,3,5,,
Abricots,0,,#DIV/0!,,
Acul Barrier Reef NE,1,0,0,,
Acul Barrier Reef W of Wreck,2,1,50,,
Acul Cadras,2,2,100,,
Acul Cadras 2nd point,0,0,#DIV/0!,,
Acul Ile Rat,2,1,50,,
Acul Long Skinny Patch Reef NW,2,2,100,,
Acul Patch Reef W Ile Rat,1,0,0,,
Aguadores,157,151,96.17834395,,
Airport Caves,33,18,54.54545455,,
Airport Reef West,287,81,28.22299652,,
Albet (11m),0,,#DIV/0!,,
Albet (3m),444,92,20.72072072,,
Alligator Reef North,47,40,85.10638298,,
Anchor Reef,0,0,#DIV/0!,,
"Ancla, Cabeza de Toro",23,12,52.17391304,,
Ancoras II,41,36,87.80487805,,
Angel Reef,84,45,53.57142857,,
Anse a Marigot Island,47,12,25.53191489,,
Anse a Veaux East,1,0,0,,
Anse Chastanet Reef,390,197,50.51282051,,
Anse d'Azur East,10,4,40,,
Anse d'Azur White House,2,2,100,,
Anse d'Azur White Patches,18,4,22.22222222,,
Anse du Clerc East,3,3,100,,
Anse Galets E,17,14,82.35294118,,
Anthony Key,53,43,81.13207547,,
Anthony Key 2,110,55,50,,
Anthony Key 3,65,39,60,,
Anthony Key 4,49,28,57.14285714,,
Apple Bay,38,22,57.89473684,,
Aquario,23,8,34.7826087,,
Aquarium - Indiana,472,328,69.49152542,,
Aquarium East,88,20,22.72727273,,
Arcadines Lighthouse E,32,1,3.125,,
Arcadines Lighthouse W,31,2,6.451612903,,
Atlantic Princess,201,150,74.62686567,,
Atlantis,56,46,82.14285714,,
AV20,49,29,59.18367347,,
Aviation,12,12,100,,
Baby Beach,14,12,85.71428571,,
Baby Beach Reef,148,57,38.51351351,,
Baby Beach/Pet Cemetary,16,7,43.75,,
Bachelors Reef,47,22,46.80851064,,
Bahamas,88,57,64.77272727,,
"Bahamas, La Caleta, MPA",85,72,84.70588235,,
"Bahia das Agulhas, W Principe",136,41,30.14705882,,
Bahia Principe Cayacoa,24,10,41.66666667,,
Baixa Seca,85,45,52.94117647,,
Bajo Alicia,56,18,32.14285714,,
Bajo de San Felipe,92,33,35.86956522,,
Bajo Manzanillo,27,15,55.55555556,,
Bajo Punta Rey Seaward,26,12,46.15384615,,
Bajo San Felipe,128,94,73.4375,,
Bajo San Felipe Profundo,60,29,48.33333333,,
Bajo Tranquilo,71,44,61.97183099,,
Bajo Venados,11,7,63.63636364,,
Baleine Gros Ilets,48,19,39.58333333,,
"Balneario Cerro Gordo, Vega Alta",39,5,12.82051282,,
Balneario de Sunbay,24,23,95.83333333,,
Balneario Puerto Nuevo,39,8,20.51282051,,
Bamboo,19,6,31.57894737,,
Bamboo Point,0,0,#DIV/0!,,
Bancroft Reef,0,0,#DIV/0!,,
Barco Hundido,26,13,50,,
Barra do Forte,0,0,#DIV/0!,,
Barracuda,153,33,21.56862745,,
Barracuda Reef Line 1,297,110,37.03703704,,
Barracuda Reef Line 2,37,12,32.43243243,,
Barreta do Moura Leste,11,0,0,,
Barreta do Moura Norte,70,2,2.857142857,,
Barretao,25,15,60,,
Barretinha,121,25,20.66115702,,
"Barrier Bajo del Negro 2, Miches",7,4,57.14285714,,
Barry's Dream,0,0,#DIV/0!,,
Barry's Reef Dive Site,0,0,#DIV/0!,,
Basil Jones,552,90,16.30434783,,
Bastimentos,0,0,#DIV/0!,,
Bath & Tennis Reef- Palm Beach County,117,17,14.52991453,,
Bayahibe/Dominicus,227,148,65.19823789,,
Beacon Point,0,0,#DIV/0!,,
Big Majors,0,0,#DIV/0!,,
Big Patch Caye Sable,1,0,0,,
Big Pelican East,27,21,77.77777778,,
Big Pelican West,1164,38,3.264604811,,
Biorock,79,1,1.265822785,,
Black Coral Forest,0,0,#DIV/0!,,
Black Coral Wall,70,61,87.14285714,,
Blackbird Point,141,13,9.219858156,,
Blackie,248,121,48.79032258,,
Bloody Bay,539,109,20.22263451,,
Bloody Bay (Gallery),178,46,25.84269663,,
Blue Buoy,0,0,#DIV/0!,,
Blue Channel Dive Site,0,0,#DIV/0!,,
Bo wout montrois,7,0,0,,
Boat Cove,46,28,60.86956522,,
Boca Artificial Reef,162,18,11.11111111,,
Boca Artificial Reef Ledge,425,79,18.58823529,,
Boca Chica West,28,28,100,,
Boca Patch Reef,32,19,59.375,,
Bonbon East,8,2,25,,
Bonito Gordo,160,40,25,,
